bank,creationdate
ml.com,5/16/1990
cigna.com,1/17/1992
jpmorgan.com,4/24/1992
bankone.com,11/24/1992
agedwards.com,1/11/1993
lehman.com,3/26/1993
ntrs.com,7/19/1993
aib.com,10/4/1993
prudential.com,6/22/1994
fbr.com,8/16/1994
centura.com,9/16/1994
sbbt.com,9/28/1994
talbots.com,11/3/1994
guardianlife.com,12/28/1994
ljbank.com,1/27/1995
fleet.com,2/12/1995
sbk.com,2/14/1995
mellon.com,3/4/1995
interbank.com,3/5/1995
mbna.com,3/6/1995
amtrust.com,4/4/1995
fcnb.com,4/21/1995
bankatlantic.com,5/18/1995
bbnb.com,6/4/1995
sbmct.com,6/22/1995
wachovia.com,7/12/1995
wnb.com,7/14/1995
amsouth.com,7/29/1995
firstfed.com,7/29/1995
mainebank.com,7/29/1995
midamericabank.com,7/29/1995
bbandt.com,8/1/1995
mibank.com,8/2/1995
bankersbank.com,8/10/1995
morgankeegan.com,8/10/1995
obb.com,8/13/1995
chittenden.com,8/14/1995
communityfirst.com,8/23/1995
nationalcity.com,8/25/1995
valleybank.com,8/28/1995
cascadebank.com,8/31/1995
ccbt.com,9/7/1995
nantucketbank.com,9/8/1995
fbbh.com,9/9/1995
firstessex.com,9/15/1995
amcore.com,9/20/1995
privatebank.com,9/28/1995
sixrivers.com,10/7/1995
sjnb.com,10/11/1995
wbpr.com,10/20/1995
dgnb.com,10/25/1995
communitybank.com,10/26/1995
republicbankfl.com,10/26/1995
adamsbank.com,10/29/1995
coastalbanc.com,11/6/1995
lasallebanks.com,11/6/1995
firstnationalbank.com,11/12/1995
sdnb.com,11/12/1995
fnanb.com,11/16/1995
centralbk.com,11/17/1995
citrusbank.com,11/17/1995
pointebank.com,11/29/1995
firstfedamerica.com,11/30/1995
paccrest.com,11/30/1995
northforkbank.com,12/5/1995
advest.com,12/6/1995
goldensecurity.com,12/8/1995
ustrust.com,12/11/1995
cupnb.com,12/12/1995
hawthornesavings.com,12/13/1995
first-fidelity.com,12/22/1995
firstvirginia.com,12/22/1995
bsbbank.com,12/26/1995
countybank.com,1/2/1996
southtrust.com,1/5/1996
capitalbank.com,1/13/1996
geobank.com,1/16/1996
wamu.com,1/17/1996
parkvale.com,1/18/1996
yosemitebank.com,1/18/1996
farwestbank.com,1/22/1996
unionfedbank.com,1/24/1996
farmersbank.com,2/2/1996
troysavingsbank.com,2/2/1996
leedsfsb.com,2/7/1996
strategiccap.com,2/10/1996
granitebank.com,2/11/1996
interstatebank.com,2/11/1996
aifusa.com,2/15/1996
gatewaybank.com,2/15/1996
irwinunion.com,2/15/1996
vintagebank.com,2/20/1996
suburbanfsb.com,2/22/1996
1stfederal.com,2/23/1996
snbank.com,2/23/1996
superiorfederal.com,2/23/1996
citynationalbank.com,2/24/1996
compassbank.com,3/3/1996
borel.com,3/4/1996
fcb-hsv.com,3/5/1996
fnbolathe.com,3/7/1996
ubcd.com,3/12/1996
citizens1st.com,3/13/1996
downeysavings.com,3/14/1996
yanb.com,3/14/1996
lyndonbank.com,3/15/1996
allegiantbank.com,3/16/1996
firstindiana.com,3/16/1996
wilberbank.com,3/16/1996
woronoco.com,3/17/1996
superiorbank.com,3/24/1996
comfedbank.com,3/25/1996
firstsavings.com,3/26/1996
fnb-beatrice.com,3/27/1996
humboldtbank.com,3/27/1996
worldsavings.com,3/27/1996
thecommbank.com,3/28/1996
uniontrust.com,3/29/1996
fmsb.com,3/31/1996
firstcommercialbank.com,4/2/1996
frontierbank.com,4/2/1996
blcnet.com,4/3/1996
columbianbank.com,4/3/1996
fmbanks.com,4/9/1996
bankoffallriver.com,4/11/1996
fnbk.com,4/11/1996
firstregional.com,4/13/1996
ameribank.com,4/14/1996
cibbank.com,4/16/1996
gebank.com,4/17/1996
ocwen.com,4/17/1996
allbank.com,4/18/1996
pbtok.com,4/19/1996
plymouthsavings.com,4/21/1996
belmontbank.com,4/23/1996
chevychasebank.com,4/23/1996
ssbnet.com,4/25/1996
bfsb.com,4/26/1996
asbonline.com,4/27/1996
unionplanters.com,4/27/1996
lostpines.com,4/30/1996
pobank.com,5/5/1996
franklinsavings.com,5/8/1996
belviderebank.com,5/9/1996
stfrancisbank.com,5/9/1996
bluestem.com,5/10/1996
unionnational.com,5/15/1996
royalamerican.com,5/18/1996
sjbank.com,5/21/1996
first-american.com,5/23/1996
heritagebankaz.com,5/23/1996
rgonline.com,5/28/1996
cornerstonebank.com,5/29/1996
selectbank.com,5/30/1996
commercialbank.com,5/31/1996
corusbank.com,6/4/1996
peoplesbankky.com,6/6/1996
amernat.com,6/10/1996
irwinbank.com,6/11/1996
enbank.com,6/12/1996
unionsafe.com,6/14/1996
cnbgreeley.com,6/15/1996
fcbcf.com,6/18/1996
summitbk.com,6/19/1996
hcbank.com,6/25/1996
bartonvillebank.com,7/1/1996
whitneybank.com,7/1/1996
ggbank.com,7/2/1996
goldbank.com,7/2/1996
heritageonline.com,7/3/1996
brooklynbank.com,7/4/1996
greenpoint.com,7/6/1996
midstatebank.com,7/8/1996
wfib.com,7/8/1996
securitystatebank.com,7/15/1996
businessbank.com,7/16/1996
trustcompany.com,7/17/1996
rsb.net,7/18/1996
pacificstatebank.com,7/20/1996
firstwesternbank.com,7/23/1996
cnatrust.com,7/26/1996
snbtx.com,7/26/1996
firstmutual.com,7/29/1996
commerceonline.com,7/30/1996
frsb.com,8/5/1996
glsb.com,8/7/1996
firstbank-alma.com,8/8/1996
libertystatebank.com,8/9/1996
massbank.com,8/18/1996
