bank,deadtype,bankwhois,bankredir,registered
www.suncoastbank.com,parked-ads,F,F,T
www.cnbweslaco.com,parked-ads,F,F,T
www.snbank.com,bank,T,F,T
www.fnba.net,notreg,F,F,F
www.countrysidebank.net,dead,F,F,T
www.nittanybank.com,bank,F,F,T
www.sccb.com,parked-ads,F,F,T
www.cuyamacabank.com,notreg,F,F,F
www.centurynationalonline.com,dead,F,F,T
www.advest.com,dead,F,F,T
www.wyomingbnk.com,parked-ads,F,F,T
www.ncbbanking.com,dead,F,F,T
www.pamrapo.com,dead,F,F,T
www.fidelitybank-pa.com,bank,T,F,T
www.bankr.com,reuse,F,F,T
www.firstknox.com,bank,F,F,T
www.bellfederalsavings.com,dead,F,F,T
www.medfordcoopbank.com,reuse,F,F,T
www.heritagebanknfl.com,redir2alive,T,T,T
www.firstbankfinancialservices.com,dead,F,T,T
www.brahambank.com,parked-ads,F,F,T
www.first-citizens-bank.com,dead,F,F,T
www.dundasbank.com,notreg,F,F,F
www.firstindependentbank.com,parked-ads,F,F,T
www.arbucklebank.net,redir2alive,T,T,T
www.flatbushfed.com,dead,F,F,T
www.premierbankwv.com,reuse,F,F,T
www.wtdirect.com,dead,F,T,T
www.northwoodsstatebank.com,parked-ads,F,F,T
www.bayfinancial.com,parked-ads,F,F,T
www.gbsb.com,dead,F,T,T
www.hnbtx.com,parked-ads,F,F,T
www.riverviewcommunitybank.com,parked-ads,F,F,T
www.massbank.com,dead,F,F,T
www.fvab.com,notreg,F,F,F
www.unitedkingfield.com,redir2alive,F,T,T
www.nevadasecuritybank.com,dead,F,F,T
www.wnbk.com,bank,F,F,T
www.communitybk.net,parked,F,F,T
www.franklinbankmpls.com,bank,T,F,T
www.ffbsweetwater.com,bank,F,F,T
www.crosbybank.com,dead,F,F,T
www.ncwbank.com,dead,F,T,T
www.csbwaterloo.com,notreg,F,F,F
www.corusbank.com,dead,F,T,T
www.firstamerbank.com,parked-ads,F,F,T
www.sjnb.com,redir2alive,F,T,T
www.postvillestatebank.com,notreg,F,F,F
www.potomacbank.com,parked-ads,F,F,T
www.parkwaybankarizona.com,bank,F,F,T
www.eaglebankky.com,parked-ads,F,F,T
www.thefirstcommercialbank.com,dead,F,T,T
www.fsbvan.com,dead,F,F,T
www.fnbfairfield.com,bank,F,F,T
www.americanfirstbank-florida.com,dead,F,F,T
www.skyfi.com,parked-ads,F,F,T
www.firstessex.com,dead,F,F,T
www.piedmontbankga.com,dead,F,F,T
www.fcbanker.com,dead,F,T,T
www.bankofbellevue.com,parked-ads,F,F,T
www.fnbmena.com,redir2alive,T,T,T
www.securitystatebank-guttenberg.com,dead,F,F,T
www.firstcapitalbank.com,parked-ads,F,F,T
www.lafayettesavings.com,dead,F,T,T
www.bankofpensacola.com,bank,F,F,T
www.valleybankhelena.com,bank,F,F,T
www.chevrontexacocards.com,bank,F,F,T
www.fnblarned.com,parked-ads,F,F,T
www.fnbmtvernon.com,reuse,F,F,T
www.cbt.net,dead,F,F,T
www.ssbnj.com,reuse,F,F,T
www.firsthenryetta.com,notreg,F,F,F
www.westernreservebank.com,redir2alive,T,T,T
www.firstmorris.com,parked,F,F,T
www.firstwesternbank-mn.com,notreg,F,F,F
www.geobank.com,dead,F,F,T
www.1stbankonline.com,dead,F,T,T
www.metabankonline.com,dead,F,T,T
www.sibk.com,dead,F,F,T
www.firstbank1.com,reuse,F,F,T
www.kytrustbank.com,dead,F,F,T
www.abt-bank.com,reuse,F,F,T
www.superiorsavings.com,malware,F,F,T
www.myhtb.com,dead,F,F,T
www.theeastbank.com,parked-ads,F,F,T
www.fwsb.com,dead,F,F,T
www.equinoxbank.com,parked,F,F,T
www.asianbankaz.com,dead,F,F,T
www.burlbank.com,dead,F,T,T
www.fnbaonline.com,dead,F,F,T
www.fnbsanto.com,dead,F,T,T
www.ranchobank.com,dead,F,F,T
www.anbwy.com,dead,F,F,T
www.bankofcurrituck.com,dead,F,T,T
www.bankhays.com,bank,T,F,T
www.americanbank.biz,notreg,F,F,F
www.candcbank.com,dead,F,F,T
www.psbnetbank.com,dead,F,T,T
www.mainsourcebankil.com,dead,F,T,T
www.cornerstonebankms.com,notreg,F,F,F
www.golfsavingsbank.com,bank,F,F,T
www.asbnj.com,dead,F,T,T
www.firstbankingcenter.com,notreg,F,F,F
www.1stks.com,parked-ads,F,F,T
www.fnbruidoso.com,bank,F,F,T
www.citicorptrustbank.com,bank,F,F,T
www.meridianbankusa.com,reuse,F,F,T
www.cardunal.net,parked-ads,F,F,T
www.fssbofsemo.com,notreg,F,F,F
www.pchnb.com,dead,F,F,T
www.mtwashingtonbank.com,bank,F,F,T
www.morgan1st.com,dead,F,F,T
www.bankersbank.com,parked-ads,F,F,T
www.fbbh.com,reuse,F,F,T
www.stockmansbank.com,bank,F,F,T
www.centralkyfsb.com,bank,T,F,T
www.southpointebank.com,parked-ads,F,F,T
www.ivcbank.com,dead,F,F,T
www.firstnationaltullahoma.com,reuse,F,F,T
www.lvfb.com,dead,F,F,T
www.somersetnb.com,parked-ads,F,F,T
www.johnwarnerbank.com,bank,F,F,T
www.bayviewbank.com,dead,F,F,T
www.pointebank.com,bank,F,F,T
www.firstpiedmontbank.com,bank,F,F,T
www.beardstownfsb.com,dead,F,F,T
www.farmersnatbank.com,bank-interstitial,F,F,T
www.unionbankmo.com,dead,F,F,T
www.wnb.com,reuse,F,F,T
www.cbrrv.com,dead,F,F,T
www.fhbanknm.com,notreg,F,F,F
www.firstarkansas.com,dead,F,F,T
www.silverstatebank.com,parked-ads,F,F,T
www.tibbank.com,dead,F,T,T
www.communitybankdestin.com,redir2alive,F,T,T
www.fsbtc.com,dead,F,T,T
www.fcbcf.com,redir2alive,F,T,T
www.firstsuburbanbank.com,reuse,F,F,T
www.pinebank.com,parked-ads,F,F,T
www.pemibank.com,dead,T,F,T
www.hedricksavingsbank.com,bank,F,F,T
www.bankofalbuquerque.com,bank,F,F,T
www.marinebankfsb.com,bank,F,F,T
www.nesqsavingsbank.com,parked-ads,F,F,T
www.carolinanationalbank.com,dead,F,F,T
www.fcbusa.com,dead,T,F,T
www.securitybusinessbank.com,bank,T,F,T
www.fsbfaith.com,bank,T,F,T
www.libertywebbank.com,parked-ads,F,F,T
www.banksterling.com,bank,F,F,T
www.bankcalumet.com,bank,T,F,T
www.goldensecurity.com,parked-ads,F,F,T
www.willowfinancialbank.com,dead,F,F,T
www.fortknoxnationalbank.com,dead,F,F,T
www.fivestarbanknatomas.com,notreg,F,F,F
www.flbk.com,dead,F,F,T
www.pcnbonline.com,dead,F,T,T
www.champaignbank.com,dead,F,T,T
www.mcmullenbank.com,dead,F,F,T
www.unionstate.com,dead,F,T,T
www.bsbbank.com,dead,F,F,T
www.fnbmcconnells.com,dead,F,F,T
www.bvbank.com,dead,F,T,T
www.fnb-jasper.com,bank,F,F,T
www.insurbanc.com,bank,F,F,T
www.progressbank.com,dead,F,F,T
